Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Universidade Federal de Goiás UFG,www.ufg.br,41,999,1322,520,1224,2013
Universidade Federal do Rio Grande do Norte,www.ufrn.br,42,1006,1258,691,1268,2013
Universidade Federal de São Carlos,www.ufscar.br,43,1021,1690,1139,847,2013
Universidad Nacional de Rosario,unr.edu.ar,44,1061,1290,1877,1310,2013
Pontificia Universidade Católica do Paraná PUCPR,www.pucpr.br,45,1089,1171,1882,1570,2013
(1) Pontificia Universidad Católica de Valparaíso,www.ucv.cl,46,1089,937,2308,1842,2013
Universidade Federal de Santa Maria UFSM,www.ufsm.br,47,1104,1759,621,1042,2013
Universidad de los Andes Mérida,www.ula.ve,48,1107,1235,509,1664,2013
(2) Universidad Autónoma del Estado de México,www.uaemex.mx,49,1120,957,637,1986,2013
Universidad Mayor de San Simón,www.umss.edu.bo,50,1146,733,2589,2392,2013
Universidad del Cauca,www.unicauca.edu.co,51,1190,791,1464,2392,2013
Fundação Getulio Vargas FGV,portal.fgv.br,52,1208,704,511,2864,2013
Universidade Federal da Paraíba UFPB,www.ufpb.br,53,1230,1825,883,1185,2013
Universidad de Talca,www.utalca.cl,54,1242,1233,1335,1894,2013
Universidad Austral de Chile,www.uach.cl,55,1242,1711,581,1416,2013
Universidad de la Habana,www.uh.cu,56,1259,1249,2324,1826,2013
Universidade do Vale do Rio dos Sinos UNISINOS,www.unisinos.br,57,1267,1049,1820,2172,2013
Universidade Estadual de Maringá,www.uem.br,58,1270,2107,411,1138,2013
Universidade Federal de Viçosa UFV,www.ufv.br,59,1274,1981,693,1209,2013
Universidad Nacional de Cuyo Mendoza,www.uncu.edu.ar,60,1288,1781,617,1424,2013
Universidad Michoacana de San Nicolás de Hidalgo,www.umich.mx,61,1327,1865,837,1438,2013
Universidad de Sonora,www.uson.mx,62,1327,1096,474,2369,2013
Pontificia Universidad Javeriana,puj-portal.javeriana.edu.co,63,1355,1523,1003,1854,2013
Universidad Simón Bolívar Venezuela,www.usb.ve,64,1356,1565,1071,1814,2013
Universidad Tecnológica Nacional,www.utn.edu.ar,65,1377,1545,393,1973,2013
Universidad Distrital Francisco José de Caldas,www.udistrital.edu.co,66,1390,655,2099,3278,2013
Universidad de Tarapacá,www.uta.cl,67,1403,1180,4090,2303,2013
Universidad Autónoma de Nuevo León,www.uanl.mx,68,1407,2262,59,1438,2013
Universidade Estadual de Londrina,www.uel.br,69,1410,2045,677,1470,2013
