Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
(1) Muhimbili University of Health and Allied Sciences,www.muhas.ac.tz,97,4575,13666,2370,1689,2014
British University in Egypt,www.bue.edu.eg,98,4620,9511,9308,2115,2014
University of Swaziland,www.uniswa.sz,99,4633,8725,4670,2852,2014
Université Mohamed Chérif Messaadia de Souk-Ahras,www.univ-soukahras.dz,100,4654,2090,12373,4442,2014
University of Cape Town,www.uct.ac.za,1,332,604,512,276,2015
Stellenbosch University,www.sun.ac.za,2,475,1100,300,455,2015
University of the Witwatersrand,www.wits.ac.za,3,524,1339,350,409,2015
University of Pretoria,www.up.ac.za,4,541,1218,218,623,2015
Cairo University,cu.edu.eg,5,574,783,783,620,2015
University of Kwazulu Natal,www.ukzn.ac.za,6,710,1648,826,557,2015
University of the Western Cape,www.uwc.ac.za,7,1011,1780,2178,1091,2015
Mansoura University,www.mans.edu.eg,8,1070,2137,1166,1029,2015
University of Johannesburg,www.uj.ac.za,9,1136,3109,716,906,2015
American University in Cairo,www.aucegypt.edu,10,1193,1050,1871,1941,2015
Makerere University,mak.ac.ug,11,1215,3436,962,941,2015
Rhodes University,www.ru.ac.za,12,1218,1947,1902,1356,2015
North West University,www.nwu.ac.za,13,1229,2683,1073,1154,2015
University of South Africa,www.unisa.ac.za,14,1254,2185,495,1941,2015
Alexandria University,www.alexu.edu.eg,15,1268,3385,1516,953,2015
Assiut University,www.aun.edu.eg,16,1660,4975,907,1276,2015
University of the Free State,www.ufs.ac.za,17,1679,4552,1572,1279,2015
University of Nairobi,www.uonbi.ac.ke,18,1698,1657,99999,1449,2015
Nelson Mandela Metropolitan University,www.nmmu.ac.za,19,1735,3068,2890,1720,2015
University of Ghana,www.ug.edu.gh,20,1757,3844,3949,1500,2015
Université des Sciences et de la Technologie Houari Boumediene,www.usthb.dz,21,1781,3811,2970,1573,2015
Université Djillali Liabes,www.univ-sba.dz,22,1859,2946,6423,1750,2015
Addis Ababa University,www.aau.edu.et,23,1976,5762,4517,1399,2015
Ain Shams University,www.asu.edu.eg,24,1997,9096,2602,838,2015
