Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
China University of Mining & Technology / 中国矿业大学,www.cumt.edu.cn,37,267,102,1226,827,2013
Keio University / 慶応義塾大学,www.keio.ac.jp,38,272,285,540,339,2013
Chiang Mai University,www.cmu.ac.th,39,281,147,42,851,2013
Mahidol University,www.mahidol.ac.th,40,288,240,222,552,2013
Nankai University / 南开大学,www.nankai.edu.cn,41,289,306,1636,326,2013
National Tsing Hua University Taiwan,www.nthu.edu.tw,42,293,381,184,315,2013
Indian Institute of Technology Bombay,www.iitb.ac.in,43,294,199,630,587,2013
Xi'An Jiaotong University / 西安交通大学,www.xjtu.edu.cn,44,300,386,851,312,2013
Nanyang Technological University,www.ntu.edu.sg,45,306,694,634,95,2013
Technion Israel Institute of Technology,www.technion.ac.il,46,311,619,68,229,2013
East China Normal University / 华东师范大学,www.ecnu.edu.cn,47,314,244,1231,524,2013
Northeastern University China / 东北大学,www.neu.edu.cn,48,328,232,1789,561,2013
Hokkaido University / 北海道大学,www.hokudai.ac.jp,49,332,575,249,240,2013
Tohoku University / 東北大学,www.tohoku.ac.jp,50,336,765,247,110,2013
(1) Korea University / 고려대학교,www.korea.ac.kr,51,339,602,926,217,2013
Universiti Sains Malaysia,www.usm.my,52,341,341,603,476,2013
Jilin University / 吉林大学,www.jlu.edu.cn,53,344,552,555,296,2013
National Formosa University,www.nfu.edu.tw,54,345,95,807,1293,2013
Tianjin University / 天津大学,www.tju.edu.cn,55,347,371,1793,409,2013
Dalian University of Technology / 大连理工大学,www.dlut.edu.cn,56,351,566,1130,281,2013
Weizmann Institute of Science,www.weizmann.ac.il,57,353,663,448,253,2013
Hong Kong Polytechnic University,www.polyu.edu.hk,58,367,715,460,189,2013
China University of Geosciences / 中国地质大学,www.cug.edu.cn,59,370,299,2117,586,2013
Peking University Health Science Center (Beijing Medical University) / 北京大学医学部,www.bjmu.edu.cn,60,383,401,2223,473,2013
(1) Yonsei University / 연세대학교,www.yonsei.ac.kr,61,383,822,790,171,2013
University of Tsukuba / 筑波大学,www.tsukuba.ac.jp,62,385,670,276,305,2013
National Taiwan Normal University,www.ntnu.edu.tw,63,397,253,173,925,2013
Xidian University / 西安电子科技大学,www.xidian.edu.cn,64,398,390,1435,547,2013
Hong Kong University of Science & Technology,www.ust.hk,65,400,747,531,251,2013
Renmin University of China / 中国人民大学,www.ruc.edu.cn,66,401,188,1340,1006,2013
King Saud University,ksu.edu.sa,67,402,508,27,495,2013
Northeast Normal University / 东北师范大学,www.nenu.edu.cn,68,406,373,699,644,2013
Kasetsart University,www.ku.ac.th,69,412,194,77,1198,2013
Hunan Normal University / 湖南师范大学,www.hunnu.edu.cn,70,414,149,2618,1200,2013
Istanbul University,www.istanbul.edu.tr,71,418,414,406,614,2013
Indian Institute of Technology Madras,www.iitm.ac.in,72,419,448,895,570,2013
National Chung Cheng University,www.ccu.edu.tw,73,427,308,713,799,2013
Northwest University China / 西北大学,www.nwu.edu.cn,74,432,261,1768,853,2013
National Sun Yat Sen University,www.nsysu.edu.tw,75,433,565,396,510,2013
Tokyo Institute of Technology / 東京工業大学,www.titech.ac.jp,76,433,881,384,213,2013
City University of Hong Kong,www.cityu.edu.hk,77,439,834,781,216,2013
Fuzhou University / 福州大学,www.fzu.edu.cn,78,440,345,2497,715,2013
China Agricultural University / 中国农业大学,www.cau.edu.cn,79,443,519,1476,503,2013
King Mongkut's Institute of Technology Ladkrabang,www.kmitl.ac.th,80,445,173,1137,1252,2013
University of Haifa,www.haifa.ac.il,81,446,476,437,605,2013
(1) Middle East Technical University / Orta Doğu Teknik Üniversitesi,www.metu.edu.tr,82,455,551,607,502,2013
Nanjing Normal University / 南京师范大学,www.njnu.edu.cn,83,460,290,1520,903,2013
Prince of Songkla University,www.psu.ac.th,84,462,310,34,1122,2013
South China Normal University / 华南师范大学,www.scnu.edu.cn,85,465,374,1120,787,2013
Southeast University China / 东南大学,www.seu.edu.cn,86,469,847,899,291,2013
Hanyang University / 한양대학교,www.hanyang.ac.kr,87,477,776,1750,320,2013
Harbin Engineering University / 哈尔滨工程大学,www.hrbeu.edu.cn,88,478,346,2401,812,2013
Khon Kaen University,www.kku.ac.th,89,481,353,257,992,2013
Shaanxi Normal University / 陕西师范大学,www.snnu.edu.cn,90,484,276,739,1111,2013
South China Agricultural University / 华南农业大学,www.scau.edu.cn,91,490,304,1396,1027,2013
(1) Beijing (Northern) Jiaotong University / 北京交通大学,www.bjtu.edu.cn,92,493,420,3054,735,2013
Ningbo University / 宁波大学,www.nbu.edu.cn,93,494,239,1214,1228,2013
Southwest Jiaotong University / 西南交通大学,www.swjtu.edu.cn,94,497,403,1585,822,2013
Nanjing University of Technology / 南京工业大学,www.njut.edu.cn,95,498,425,1978,795,2013
Pohang University of Science & Technology / 포항공과대학교,www.postech.ac.kr,96,499,893,1171,306,2013
(1) Sungkyunkwan University / 성균관대학교,www.skku.ac.kr,97,506,989,2325,243,2013
Beijing University of Chemical Technology / 北京化工大学 ,www.buct.edu.cn,98,510,550,2844,589,2013
University of Electronic Science & Technology of China / 电子科技大学,www.uestc.edu.cn,99,512,667,2097,486,2013
Hiroshima University / 広島大学,www.hiroshima-u.ac.jp,100,514,854,402,374,2013
(1) Seoul National University / 서울대학교,www.snu.ac.kr,1,34,32,255,79,2014
National Taiwan University,www.ntu.edu.tw,2,35,81,12,103,2014
Peking University / 北京大学,www.pku.edu.cn,3,37,44,148,49,2014
Tsinghua University China / 清华大学,www.tsinghua.edu.cn,4,48,41,174,45,2014
University of Tokyo / 東京大学,www.u-tokyo.ac.jp,5,53,94,149,25,2014
Zhejiang University (National Che Kiang University) / 浙江大学,www.zju.edu.cn,6,60,52,362,72,2014
Shanghai Jiao Tong University / 上海交通大学,www.sjtu.edu.cn,7,68,128,124,102,2014
University of Hong Kong,www.hku.hk,8,79,134,74,130,2014
Kyoto University / 京都大学,www.kyoto-u.ac.jp,9,88,241,62,63,2014
Korea Advanced Institute of Science & Technology KAIST,www.kaist.ac.kr,10,92,122,300,215,2014
Xiamen University / 厦门大学,www.xmu.edu.cn,11,103,95,32,371,2014
National University of Singapore,www.nus.edu.sg,12,108,176,192,41,2014
Wuhan University / 武汉大学,www.whu.edu.cn,13,122,67,894,292,2014
National Central University,www.ncu.edu.tw,14,143,218,10,458,2014
National Chiao Tung University,www.nctu.edu.tw,15,157,188,216,322,2014
Fudan University (Shanghai Medical University) / 复旦大学,www.fudan.edu.cn,16,159,147,484,135,2014
Jilin University / 吉林大学,www.jlu.edu.cn,17,166,264,139,273,2014
National Cheng Kung University,www.ncku.edu.tw,18,176,377,80,235,2014
Hebrew University of Jerusalem,www.huji.ac.il,19,181,285,1050,203,2014
Chinese University of Hong Kong,www.cuhk.edu.hk,20,183,254,342,166,2014
Shandong University / 山东大学,www.sdu.edu.cn,21,185,234,400,230,2014
Istanbul University,www.istanbul.edu.tr,22,190,119,55,640,2014
Sun Yat Sen University (Zhongshan University) / 中山大学,www.sysu.edu.cn,23,197,153,1380,207,2014
Tel Aviv University,www.tau.ac.il,24,203,359,882,136,2014
Hong Kong Polytechnic University,www.polyu.edu.hk,25,217,230,407,194,2014
Northeast Normal University / 东北师范大学,www.nenu.edu.cn,26,219,54,1302,631,2014
University of Science & Technology of China / 中国科学技术大学,www.ustc.edu.cn,27,224,214,1136,162,2014
National Tsing Hua University Taiwan,www.nthu.edu.tw,28,226,433,128,331,2014
(1) Yonsei University / 연세대학교,www.yonsei.ac.kr,29,228,324,1102,175,2014
Xi'An Jiaotong University / 西安交通大学,www.xjtu.edu.cn,30,231,207,762,297,2014
Nagoya University / 名古屋大学,www.nagoya-u.ac.jp,31,233,481,426,183,2014
Osaka University / 大阪大学,www.osaka-u.ac.jp,32,243,511,374,99,2014
Keio University / 慶応義塾大学,www.keio.ac.jp,33,256,220,514,357,2014
Huazhong University of Science & Technology / 华中科技大学,www.hust.edu.cn,34,262,283,814,209,2014
Nanjing University / 南京大学,www.nju.edu.cn,35,269,276,1033,185,2014
Mahidol University,www.mahidol.ac.th,36,273,223,496,572,2014
Beijing Normal University / 北京师范大学,www.bnu.edu.cn,37,273,143,1311,379,2014
Sichuan University / 四川大学,www.scu.edu.cn,38,276,108,2551,276,2014
(1) Korea University / 고려대학교,www.korea.ac.kr,39,278,420,622,221,2014
Nanyang Technological University,www.ntu.edu.sg,40,283,659,382,86,2014
Hokkaido University / 北海道大学,www.hokudai.ac.jp,41,288,500,411,277,2014
Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学,www.buaa.edu.cn,42,291,245,594,380,2014
Hanyang University / 한양대학교,www.hanyang.ac.kr,43,293,307,1461,330,2014
University of Tsukuba / 筑波大学,www.tsukuba.ac.jp,44,301,444,586,315,2014
(1) Kyungpook (Kyungbook) National University / 경북대학교,www.knu.ac.kr,45,305,219,2051,408,2014
Tongji University / 同济大学,www.tongji.edu.cn,46,305,186,2131,329,2014
Shanghai University / 上海大学,www.shu.edu.cn,47,310,302,468,477,2014
National Chengchi University,www.nccu.edu.tw,48,321,210,85,1392,2014
National Sun Yat Sen University,www.nsysu.edu.tw,49,323,608,118,552,2014
Hong Kong University of Science & Technology,www.ust.hk,50,324,580,613,284,2014
Weizmann Institute of Science,www.weizmann.ac.il,51,326,508,1449,260,2014
Tohoku University / 東北大学,www.tohoku.ac.jp,52,331,610,656,128,2014
Technion Israel Institute of Technology,www.technion.ac.il,53,335,665,939,246,2014
Kasetsart University,www.ku.ac.th,54,340,197,413,1276,2014
University of Electronic Science & Technology of China / 电子科技大学,www.uestc.edu.cn,55,341,267,817,463,2014
Renmin University of China / 中国人民大学,www.ruc.edu.cn,56,345,173,258,996,2014
Lanzhou University / 兰州大学,www.lzu.edu.cn,57,348,335,869,383,2014
(1) Sungkyunkwan University / 성균관대학교,www.skku.edu,58,349,313,2079,223,2014
Kyushu University / 九州大学,www.kyushu-u.ac.jp,59,351,482,1124,242,2014
King Saud University,ksu.edu.sa,60,356,549,425,397,2014
Southeast University China / 东南大学,www.seu.edu.cn,61,360,347,1660,279,2014
Jinan University / 暨南大学,www.jnu.edu.cn,62,363,110,1034,925,2014
Central South University (Zhongnan University) / 中南大学,www.csu.edu.cn,63,364,206,3207,335,2014
China Agricultural University / 中国农业大学,www.cau.edu.cn,64,369,397,1184,483,2014
City University of Hong Kong,www.cityu.edu.hk,65,371,621,466,219,2014
Hiroshima University / 広島大学,www.hiroshima-u.ac.jp,66,375,275,1300,388,2014
East China Normal University / 华东师范大学,www.ecnu.edu.cn,67,379,362,758,511,2014
Pohang University of Science & Technology / 포항공과대학교,www.postech.ac.kr,68,380,484,2074,312,2014
Tokyo Institute of Technology / 東京工業大学,www.titech.ac.jp,69,381,855,513,238,2014
Southwest University China / 西南大学,www.swu.edu.cn,70,384,242,847,844,2014
University of Tehran,www.ut.ac.ir,71,398,713,50,384,2014
Tamkang University,www.tku.edu.tw,72,401,478,274,996,2014
National Taiwan Normal University,www.ntnu.edu.tw,73,403,318,675,939,2014
Dalian University of Technology / 大连理工大学,www.dlut.edu.cn,74,411,601,1616,262,2014
Universitas Gadjah Mada,www.ugm.ac.id,75,414,224,18,2144,2014
Pusan National University (Miryang) / 부산대학교,www.pusan.ac.kr,76,420,268,2455,464,2014
Tehran University of Medical Sciences,www.tums.ac.ir,77,422,777,103,555,2014
China University of Geosciences / 中国地质大学,www.cug.edu.cn,78,426,262,1607,526,2014
Chulalongkorn University,www.chula.ac.th,79,433,431,1064,602,2014
National Chung Cheng University,www.ccu.edu.tw,80,440,456,313,884,2014
Harbin Institute of Technology / 哈尔滨工业大学,www.hit.edu.cn,81,442,517,2869,193,2014
National Chung Hsing University,www.nchu.edu.tw,82,443,1228,78,528,2014
(1) Kyung Hee University / 경희대학교,www.khu.ac.kr,83,451,577,1689,420,2014
Nankai University / 南开大学,www.nankai.edu.cn,84,458,300,2649,321,2014
Tianjin University / 天津大学,www.tju.edu.cn,85,465,356,2144,394,2014
Huazhong (Central China) Normal University / 华中师范大学,www.ccnu.edu.cn,86,465,202,2530,688,2014
Nanjing Agricultural University / 南京农业大学,www.njau.edu.cn,87,471,336,1528,711,2014
Kobe University / 神戸大学,www.kobe-u.ac.jp,88,481,964,457,434,2014
Peking University Health Science Center (Beijing Medical University) / 北京大学医学部,www.bjmu.edu.cn,89,481,596,792,432,2014
Middle East Technical University / Orta Doğu Teknik Üniversitesi,www.metu.edu.tr,90,484,711,355,519,2014
(1) Nanjing Normal University / 南京师范大学,www.njnu.edu.cn,91,486,171,2480,890,2014
