Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
(3) Université de Monastir Institut Supérieur d'Informatique de Mahdia,http://www.isima.rnu.tn/,1247,23828,23652,5963,6683
Machakos Institute of Technology,https://www.mit.ac.ke/,1248,23828,23652,5963,6683
Kenya Institute of Mass Communication Nairobi,https://www.kimc.ac.ke/,1249,23828,23652,5963,6683
Legacy University Okija,https://legacyuniversity.edu.ng/,1250,23828,23652,5963,6683
Malawi Assemblies of God University,https://magu.ac.mw/,1251,23828,23652,5963,6683
Livingstone International University of Tourism Excellence and Business Management,http://liutebmuniversity.org/,1252,23909,23744,5963,6683
École Supérieure d'Audiovisuel et de Design Tunis ESAD,http://www.esad-tunis.com/,1253,23909,23744,5963,6683
(3) Université Hassan I Settat Faculté Polydisciplinaire Khouribga,http://www.fpk.ac.ma/,1254,23909,23744,5963,6683
Hallmark University Nigeria,https://hallmarkuniversity.edu.ng/,1255,23909,23744,5963,6683
École des Hautes Etudes des Sciences et Techniques de l'Ingénierie et du Management Privée HESTIM,https://www.hestim.ma/,1256,23909,23744,5963,6683
Université du Sine Saloum El Hâdj Ibrahima NIASS,http://www.ussein.sn/,1257,23909,23744,5963,6683
Institute of Legal Practice and Development,https://ilpd.ac.rw/,1258,23909,23744,5963,6683
(3) Université de Tunis Institut Supérieur des Beaux Arts de Tunis,http://www.isbat.rnu.tn/,1259,23909,23744,5963,6683
(3) Université de la Manouba Institut Supérieur de Biotechnologie de Sidi Thabet,http://www.isbst.rnu.tn/,1260,23909,23744,5963,6683
(3) Université de Sousse Institut Supérieur de Gestion de Sousse,http://www.isgs.rnu.tn/,1261,23909,23744,5963,6683
Africa Renewal University,https://africarenewaluniversity.org/,1262,23909,23744,5963,6683
Université Cheikh Ahmadou Bamba,http://ucab-edu.com/,1263,23909,23744,5963,6683
Université Adventiste Cosendai,https://www.uacosendai-edu.net/,1264,24026,23868,5963,6683
University of West Kordufan,http://www.wku.edu.sd/,1265,24026,23868,5963,6683
Madge Wallace International College of Skin Care and Body Therapy,https://madge-wallace.co.za/,1266,24026,23868,5963,6683
Université Euro Afrique Senegal,http://www.uea.edu.sn/,1267,24026,23868,5963,6683
(3) Université de Tunis el Manar Faculté de Droit et des Sciences Politiques de Tunis,http://www.fsjpst.rnu.tn/,1268,24026,23868,5963,6683
Ecole Supérieure en Sciences Appliquées de Tlemcen,http://www.essa-tlemcen.dz/,1269,24026,23868,5963,6683
Federal College of Education Katsina,https://fcekatsina.edu.ng/,1270,24026,23868,5963,6683
Archbishop Mihayo University College of Tabora,http://www.amucta.ac.tz/,1271,24026,23868,5963,6683
Mountcrest University College,https://mountcrestuniversity.com/,1272,24026,23868,5963,6683
(3) Université de Monastir Institut Supérieur de Biotechnologie de Monastir,http://www.isbm.rnu.tn/,1273,24026,23868,5963,6683
Institut Supérieur de Civilisation Islamique de Tunis,http://www.isci.rnu.tn/,1274,24119,23964,5963,6683
Institut Supérieur des Etudes Technologiques ISET Sousse,http://www.isetso.rnu.tn/,1275,24119,23964,5963,6683
Durbanville College,https://durbanvillecollege.ac.za/,1276,24119,23964,5963,6683
École Marocaine d'Ingénierie EMG,http://www.emg.ac.ma/,1277,24119,23964,5963,6683
Université Mahmoud el Materi Université Privée des Sciences Paramédicales en Tunisie,https://www.umm-tunisie.com/,1278,24119,23964,5963,6683
Mansoura College,http://mc.edu.eg/,1279,24119,23964,5963,6683
Hassan Usman Katsina Polytechnic,https://hukpoly.edu.ng/,1280,24202,24052,5963,6683
Benue State Polytechnic Ugbokolo,https://www.benpolyonline.edu.ng/,1281,24205,24055,5963,6683
Jamhuriya University of Science & Technology,https://just.edu.so/,1282,24205,24055,5963,6683
Federal College of Education Abeokuta,http://www.fce-abeokuta.edu.ng/,1283,24205,24055,5963,6683
École Supérieure des Multimédia Informatique et Réseaux SUPEMIR,https://supemir.com/,1284,24205,24055,5963,6683
Université des Sciences de Technologie et de Médecine,http://www.ustm.mr/,1285,24205,24055,5963,6683
Ecole Universitaire Privée de Management et de Finance,https://iaetunis.com/,1286,24205,24055,5963,6683
(3) Université de Sfax Institut supérieur de gestion industrielle de Sfax,http://www.isgis.rnu.tn/,1287,24205,24055,5963,6683
institut Supérieur de Technologie d’Antananarivo,http://www.ist-tana.mg/,1288,24205,24055,5963,6683
Spiritan University,https://www.spiritanuniversity.edu.ng/,1289,24205,24055,5963,6683
Blantyre International University,http://www.biu-edu.com/,1290,24295,24146,5963,6683
Christ Apostolic University College,https://cauc.edu.gh/,1291,24295,24146,5963,6683
AFI Business School,http://www.afi-ue.sn/,1292,24295,24146,5963,6683
(3) Université de Sousse Faculté de Médecine de Sousse,http://www.medecinesousse.org/,1293,24295,24146,5963,6683
Sudan Academy of Sciences,http://sas.edu.sd/,1294,24295,24146,5963,6683
Sir Seewoosagur Ramgoolam Medical College,http://www.ssrmedicalcollege.com/,1295,24295,24146,5963,6683
University of The Sacred Heart Gulu,https://ush.ac.ug/,1296,24385,24243,5963,6683
"(3) Université de la Manouba Faculté des Lettres, des Arts et des Humanités de la Manouba",http://www.flm.rnu.tn/,1297,24385,24243,5963,6683
ABM University College,https://www.abm.ac.bw/,1298,24385,24243,5963,6683
Mukuba University,https://mukuba.edu.zm/,1299,24385,24243,5963,6683
KAAF University College,https://kaafuni.edu.gh/,1300,24385,24243,5963,6683
Kinyanjui Technical Training Institute,http://kinyanjuitechnical.ac.ke/,1301,24385,24243,5963,6683
Instituto Superior de Ciências Jurídicas e Sociais,http://www.iscjs.edu.cv/,1302,24486,24353,5963,6683
Universidade Técnica de Moçambique,http://www.udm.ac.mz/,1303,24486,24353,5963,6683
Universidade Katyavala Bwila,http://www.ukb.ed.ao/,1304,24486,24353,5963,6683
Université des Sciences Juridiques et Politiques de Bamako USJPB,http://usjpb.edu.ml/,1305,24486,24353,5963,6683
Cuttington University,http://www.cu.edu.lr/,1306,24486,24353,5963,6683
International Academy of Reflexology and Meridian Therapy,https://www.reflexologycourse.co.za/,1307,24486,24353,5963,6683
Debre Tabor University,https://www.dtu.edu.et/,1308,24486,24353,5963,6683
(3) Université de Carthage Ecole Supérieur d'Agriculture de Mateur,http://www.esamateur.agrinet.tn/,1309,24486,24353,5963,6683
Federal College of Education Zaria,http://fcezaria.edu.ng/,1310,24486,24353,5963,6683
IT Business School,https://itbs.tn/,1311,24587,24459,5963,6683
International Trade Institute of Southern Africa,https://itrisa.co.za/,1312,24587,24459,5963,6683
International University Bamenda,http://www.iubamenda.org/,1313,24587,24459,5963,6683
Dalanj University,https://www.dalanjuniversity.edu.sd/,1314,24587,24459,5963,6683
