Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
(1) Cheju Halla University,https://www.chu.ac.kr/,7587,17225,16503,5963,6683
Sunlin College,https://www.sunlin.ac.kr/,7588,17225,16503,5963,6683
Shaheed Mohtarma Benazir Bhutto Medical University,https://www.smbbmu.edu.pk/,7589,17225,16503,5963,6683
Jharkhand Rai University,https://www.jru.edu.in/,7590,17225,16503,5963,6683
Ji'an Normal School,http://www.jxjasf.cn/,7591,17225,16503,5963,6683
Kamaraj College of Engineering and Technology Virudhunagar,http://www.kamarajengg.edu.in/,7592,17225,23964,3334,6683
Kinki University Technical College,https://www.ktc.ac.jp/,7593,17225,16503,5963,6683
Meenakshi Academy of Higher Education and Research,https://www.maher.ac.in/,7594,17225,16503,5963,6683
Institute of Science Nagpur,http://www.iscnagpur.ac.in/,7595,17251,23018,5963,5999
Sekolah Tinggi Ilmu Ekonomi STIE Sultan Agung,http://stiesultanagung.ac.id/,7596,17251,20402,5041,6683
Sur University College,http://www.suc.edu.om/,7597,17251,17156,5878,6683
Scottish Church College,http://www.scottishchurch.ac.in/,7598,17254,16531,5963,6683
School of Management Sciences Lucknow,https://www.smslucknow.com/,7599,17254,16531,5963,6683
Birsa Institute of Technology Sindri,https://www.bitsindri.ac.in/,7600,17254,16531,5963,6683
Far Eastern University Institute of Medicine,https://www.feu-nrmf.ph/,7601,17254,16531,5963,6683
Dr Mahalingam College of Engineering and Technology,https://www.mcet.in/,7602,17254,16531,5963,6683
Universitas Duta Bangsa,https://udb.ac.id/,7603,17254,21655,4590,6683
Universitas Maarif Hasyim Latif Sidoarjo,https://www.umaha.ac.id/,7604,17254,16531,5963,6683
Universitas Batam,http://www.univbatam.ac.id/,7605,17254,20402,5046,6683
Arab Open University Oman,https://www.aou.edu.om/,7606,17254,16531,5963,6683
Jeju International University,https://www.jeju.ac.kr/,7607,17254,16531,5963,6683
Kunjang College,https://www.kunjang.ac.kr/,7608,17254,16531,5963,6683
Universitas Panca Bhakti UPB Pontianak,https://upb.ac.id/,7609,17276,19728,5282,6683
Shinas College of Technology,https://www.shct.edu.om/,7610,17277,17202,5878,6683
