Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Università degli Studi di Ferrara,http://www.unife.it/,261,589,1592,250,548
Università degli Studi di Udine,https://www.uniud.it/,262,594,1191,454,607
Universitat Jaume I,https://www.uji.es/,263,597,792,462,800
Dublin City University,https://www.dcu.ie/,264,598,621,471,916
University of Hull,https://www.hull.ac.uk/,265,601,867,493,768
University of the West of England,https://www.uwe.ac.uk/,266,604,562,600,946
University of Cyprus,http://www.ucy.ac.cy/,267,605,1062,395,692
École Polytechnique (Institut Polytechnique de Paris),https://www.polytechnique.edu/,268,607,1533,533,519
University of Ulster,https://www.ulster.ac.uk/,269,607,784,359,867
Peter the Great St.Petersburg Polytechnic University / Санкт-Петербургский Политехнический Университет Петра Великого,https://www.spbstu.ru/,270,607,1230,670,576
University of Crete,https://www.uoc.gr/,271,607,985,304,770
Tomsk State University,http://www.tsu.ru/,272,611,1039,701,631
Universidad de Cantabria,https://web.unican.es/,273,613,1174,423,656
Bangor University,https://www.bangor.ac.uk/,274,616,829,368,851
Tilburg University,https://www.tilburguniversity.edu/,275,619,807,942,728
Birkbeck University of London,http://www.bbk.ac.uk/,276,623,636,482,962
Nottingham Trent University,https://www.ntu.ac.uk/,277,627,665,531,935
Technische Universität Kaiserslautern,https://www.uni-kl.de/,278,633,575,492,1022
Université de Tours,https://www.univ-tours.fr/,279,633,732,562,887
Universität fur Bodenkultur Wien,https://boku.ac.at/,280,636,1109,506,695
Universidad Nacional de Educación a Distancia UNED,https://www.uned.es/,281,637,326,465,1363
University of Szeged,https://u-szeged.hu/,282,637,764,457,909
Liverpool John Moores University,https://www.ljmu.ac.uk/,283,640,1295,565,620
University of Brighton,https://www.brighton.ac.uk/,284,644,720,680,886
Moscow Institute of Physics and Technology,https://mipt.ru/,285,646,1067,1683,555
Keele University,https://www.keele.ac.uk:443/,286,653,783,517,917
Università degli Studi di Messina,https://www.unime.it/,287,655,2018,378,529
Nicolaus Copernicus University,https://www.umk.pl/,288,663,572,649,1057
Universität Leipzig,https://www.uni-leipzig.de/,289,663,333,5963,285
Universidad de La Laguna,https://www.ull.es/,290,667,1025,762,750
Technische Universität Braunschweig,https://www.tu-braunschweig.de/,291,672,978,1143,704
Ernst Moritz Arndt Universität Greifswald,https://www.uni-greifswald.de/,292,675,1075,557,788
Universitat de Girona,https://www.udg.edu/,293,676,963,516,865
University of Debrecen,https://unideb.hu/,294,678,1317,389,760
Università degli Studi di Brescia,https://www.unibs.it/,295,685,2172,300,570
Universität Mannheim,https://www.uni-mannheim.de/,296,688,623,632,1094
Comenius University in Bratislava,https://uniba.sk/,297,688,1303,752,678
Universidad de Alcalá,https://www.uah.es/,298,691,1055,463,869
University of Hertfordshire,https://www.herts.ac.uk/,299,692,724,737,991
Aberystwyth University,https://www.aber.ac.uk/,300,696,691,591,1071
Universität Siegen,https://www.uni-siegen.de/,301,697,1066,799,798
