Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
CIMT College,https://www.cimtcollege.com/,3543,15658,14656,5963,6683
Universidad la Salle Pachuca,https://www.lasallep.edu.mx/,3544,15658,14656,5963,6683
Universidad Interamericana,https://www.lainter.edu.mx/,3545,15675,14677,5963,6683
Silicon Valley University,http://www.svuca.edu/,3546,15675,14677,5963,6683
Pennsylvania Commercial College,https://penncommercial.edu/,3547,15702,14703,5963,6683
Educacentre College,https://educacentre.com/,3548,15702,14703,5963,6683
Lansdale School of Business,https://www.lsb.edu/,3549,15702,14703,5963,6683
Iglobal University,https://www.igu.edu/,3550,15721,14728,5963,6683
Universidad de Londres,https://udlondres.com/,3551,15721,14728,5963,6683
Tennessee College of Applied Technology Memphis,https://tcatmemphis.edu/,3552,15721,14728,5963,6683
Acsenda School of Management,https://acsenda.com/,3553,15721,14728,5963,6683
